Mapped
id size density cross angleM angleD minAng edgeM edgeD minVertx finVertx devVertx minPtEdg
1 35 44.0 178 52.18156499553907 23.107216342587098 4.97041641045959 0.7389721444333163 0.4380439244316807 0.022023883139826353 94.3012201786516 101.1851239011164 3.9515413469241726E-4
2 46 66.0 433 53.768706669521535 22.812100268217563 1.1192929462549484 0.7648543249378675 0.42986518512203975 0.5086316735445043 94.10543774150118 103.39609780766101 2.90748178259763E-4
3 38 44.0 162 53.259258448829584 22.811759549620007 3.9479694177330202 0.5371524993924942 0.3550195083376864 0.16703246126621416 105.95794224727952 110.93176535598315 4.2828967478235813E-4
4 43 48.0 229 45.47484706783173 20.676023925075523 1.725615691694768 0.4835921629247457 0.37230682873919224 0.7550850610416593 91.29715209093092 98.13785835236716 0.0013616129994573607
5 37 47.0 147 54.6561709186636 23.84191480304568 3.701631866355664 0.5100347619261123 0.303807870397401 2.579187868425478E-4 103.031355803276 113.57195323556789 1.5254188144650826E-6
6 46 69.0 242 58.52691149781069 22.636397780432038 8.487513956301383 0.46308703752994756 0.3000177645610911 1.273074024144195 80.98773110148413 84.8647910530796 0.0016549367291290107
7 44 55.0 253 49.350754242776866 22.297812842501216 0.7196853369188912 0.4447284543498953 0.3106442565013073 0.891006249468888 104.70558810916378 113.42171323074773 1.6603140976437943E-4
8 41 50.0 88 45.08453762384522 21.548437350565205 3.7254219115129295 0.504084503813558 0.42321432005006066 1.6448546406555165 85.46327651020549 88.79223995221871 5.473852491829511E-4
9 44 65.0 309 53.007106979196706 22.832505997079707 2.7776213600031663 0.41570916035611843 0.27378676465001933 0.08596163744030146 93.65989619737057 101.03695792183656 3.8380858677491264E-4
10 47 75.0 131 59.87850155928402 18.584502521151016 8.867418050649468 0.1313088324187523 0.05780197613789634 0.7843186353805978 68.28810176065515 67.72275769657 2.306264768603495E-4
11 44 55.0 216 53.81803623759492 23.558579652579287 5.139253026310668 0.4970531168512528 0.3968510044416253 0.2686502521673145 97.31771892253556 102.30382662326267 1.552881885887514E-4
12 39 45.0 79 37.237371383758344 21.76088343908033 3.419936948910195 0.6271295389122244 0.4612639677182738 1.150533122606987 108.05219395756482 111.45160249834794 0.0011095319743429563
13 40 51.0 227 60.78683293173388 21.931647395639924 1.4086667751905806 0.4938293260759122 0.3613404583617813 0.05262314783691403 100.17415586584248 107.42929714740234 2.196286153150465E-4
14 38 36.0 112 46.29204311734748 23.886487851950843 2.4034476198471864 0.6877162907195584 0.5360866645027569 0.3738951681268114 96.89196645782728 107.90422466482646 1.5016586028238966E-4
15 46 59.0 237 53.38213620430061 22.217286897640758 3.310369574691484 0.5784159024262571 0.4632582346314447 1.0553072013681164 95.89411717664333 100.0241090701282 6.663698112031899E-4
16 46 63.0 92 55.95632950992305 21.18293767662798 9.715548446954202 0.3806570698799519 0.2682276280052535 0.36078840379947075 63.31230323154374 62.071446086159824 8.87348509090026E-4
17 40 57.0 123 52.84102634203996 20.196416866864094 1.5503183694053169 0.23657667922593098 0.20016967493228277 1.3469438368689906 72.52079979562693 72.08723489516359 5.917072652998561E-4
18 42 46.0 172 56.54547768881338 21.339841489442506 4.998889354739863 0.5092566429848945 0.305751235345894 1.3527181329363551 89.01291831315659 97.73544791623462 0.0012425005174817082
19 41 46.0 205 59.27055260642994 22.316989946784194 2.8639253819279675 0.6284347480125976 0.4183660267262569 0.8209898743679936 96.3504456980725 106.31985705630653 2.137938523756783E-4
20 37 36.0 78 50.001386052144476 25.88376455627928 2.6275500930026037 0.6182637787913904 0.4160111051847125 1.2957116346645623 103.83049970685249 105.97284818255281 0.0016786451559780786
21 41 59.0 386 53.031282169949264 22.807017207065332 5.6165820396121475 0.8295167538518281 0.36370415793306415 1.3229124316047234 88.95648859447527 107.36637655606332 0.001252587247103705
