Mapped
id size density cross angleM angleD minAng edgeM edgeD minVertx finVertx devVertx minPtEdg
1 35 44.0 178 52.782185709410705 23.575697560941418 2.189695403037429 0.7195605041407789 0.4282849158437144 0.10142585310617337 95.42108431381234 103.63733405366821 9.72316140551416E-4
2 46 66.0 411 53.41537550274387 21.951598939632056 5.983265473534561 0.7148574504280814 0.41711486221695093 0.40704562567541497 93.25214648009991 102.77993895526512 0.00102372186426173
3 38 44.0 166 54.809628083227835 22.855834834038298 5.1065307960578235 0.540650552577732 0.3662464663107484 0.04405227269464518 106.63323177103601 111.47966687378789 4.507125932811062E-4
4 43 48.0 204 50.19106989268245 23.47818336303425 2.840207596261237 0.5109738056518457 0.3642161111457602 0.10011264510780457 90.8014035734515 99.71119896203416 2.1880852917989296E-4
5 37 47.0 205 50.19734102626763 22.228955899273807 6.702720839241849 0.5172088283654254 0.30688489177942363 0.34906082433744523 98.48937684847274 109.81540631628829 0.0023051853002385046
6 46 69.0 212 51.40269515746145 21.000076954474913 6.1332390884309085 0.4504457169372045 0.31021853148287576 4.002526792557505 80.91904602103727 84.369258498136 0.0017055335279161754
7 44 55.0 334 54.60998279005085 23.258889369231223 0.8557330183363809 0.48502571866534205 0.31074753345224115 0.21246972202530345 105.43326776177427 115.2282683425097 3.8093359359425374E-4
8 41 50.0 95 44.269586305895935 21.64682844325135 3.20055374119388 0.4840567932370562 0.3777977941820492 0.18519490288554835 83.52254253976413 86.78555814271262 1.5430107302556013E-4
9 44 65.0 327 54.964358992442406 22.787784439512077 2.380492743697597 0.429740983729579 0.27851386810956913 0.6978532160219615 87.88840897480122 96.68598701987074 0.0010541064624948495
10 47 75.0 140 58.78636940888337 20.77249499689769 12.233381655530371 0.13312091533832596 0.06130946755499454 1.3007159657255025 65.72715746694938 66.42184295282873 0.0016202143067892384
11 44 55.0 228 52.038220199229315 23.435017357547416 1.7265455176941118 0.5050026376680341 0.3833709342136167 0.7948679038470771 98.04620301079991 103.59900479157342 7.670722810605443E-6
12 39 45.0 77 42.65222331092843 24.458880001234313 2.446275519157048 0.624832965571846 0.45403050805600087 0.9620027854712192 108.78976959778679 111.07301980710355 3.9587899395649524E-4
13 40 51.0 153 54.75073188230208 22.116690424951475 3.909713839507292 0.5169550750015827 0.37432835246433216 0.37199153130282886 94.77034447377753 104.68609746434055 5.178850231279803E-4
14 38 36.0 139 50.77415993328263 27.745126365880505 4.142550707062111 0.7184860538501261 0.5652112204954237 0.07710414925996927 98.84768951554646 109.09800244047383 4.4725593250174956E-4
15 46 59.0 235 54.72895872295635 22.27837441225058 1.0777855949724733 0.5466065623557838 0.4530622759761186 0.27683209354497645 89.0759984582634 97.97635245271356 1.6182254455355516E-4
