SubID GraphID StartID EndID Path PathLength pCrossNo pAngMean pMinAng pContinu pGeode pGeode1 Response Time Effort YN
01 35 19 13 19-14-17-24-13 4 0 90.0 90.0 146.519 104.05 261.2455040932332 4 5282 3 1
01 69 15 0 15-16-20-7-27-0 5 9 73.025 34.823 190.329 135.564 382.317495191204 5 14088 5 1
01 12 9 0 9-19-16-0 3 0 90.0 90.0 81.87 36.009 8.334935743372737 3 2747 2 1
01 83 16 1 16-4-8-2-18-1 5 0 90.0 90.0 210.991 162.128 162.57197620388496 7 10249 4 0
01 41 24 4 24-15-36-7-4 4 0 90.0 90.0 166.056 120.076 180.94217596126305 4 4521 4 1
01 46 23 0 23-13-12-4-7-1-0 6 15 61.157 21.378 176.521 244.275 1199.384092973941 6 10067 5 1
01 96 34 1 34-4-3-43-47-40-1 6 1 82.594 82.594 252.885 241.2 566.4741628363009 6 19570 6 1
01 47 19 0 19-31-13-33-0 4 0 90.0 90.0 171.119 79.087 83.43070902750308 4 3216 2 1
01 33 42 1 42-38-44-25-1 4 4 66.284 60.377 135.533 121.47 149.81390908669582 3 10902 5 0
01 5 3 0 3-16-21-4-0 4 0 90.0 90.0 90.0 60.945 47.70092790687894 4 4340 1 1
01 28 12 1 12-0-4-15-1 4 0 90.0 90.0 182.914 147.075 214.03353959967586 4 2687 1 1
01 65 9 2 9-10-16-8-2 4 9 55.501 41.189 110.835 124.286 431.1448011049278 5 12993 4 0
01 37 16 0 16-28-32-0 3 4 68.524 63.449 79.263 54.739 139.37481609070562 3 3431 2 1
01 94 1 0 1-33-14-3-0 4 1 72.144 72.144 166.285 104.911 129.5382665384813 6 10770 4 0
01 53 34 2 34-1-4-5-2 4 6 68.479 52.009 99.344 112.34 252.5030060469314 4 5847 3 1
01 91 8 0 8-25-37-0 3 1 82.014 82.014 61.037 45.983 109.58572790355342 3 4827 2 1
01 11 8 0 8-25-37-0 3 0 90.0 90.0 135.0 57.025 186.50460036406184 5 9834 4 0
01 77 16 0 16-6-19-11-0 4 3 51.099 40.607 132.397 113.229 257.6183435507152 4 3135 2 1
01 76 34 0 34-1-31-0 3 0 90.0 90.0 113.533 84.604 137.22994628220675 3 3045 1 1
01 52 26 0 26-27-19-7-1-0 5 4 67.58 46.634 168.421 109.205 200.6213702703701 4 14893 5 0
01 81 3 2 3-1-13-2 3 2 78.337 78.092 88.61 37.394 48.03659537651272 3 3469 2 1
01 49 0 1 0-7-18-15-38-16-1 6 19 61.16 13.283 270.487 220.247 300.4848293773175 7 22741 8 0
