Mapped
id size density cross angleM angleD minAng edgeM edgeD minVertx finVertx devVertx minPtEdg
1 35 44.0 8 56.97135725855454 20.87018943902485 21.588510142084058 0.12069773356930545 0.03531770381902523 2.431403202111959 47.18170097991601 41.155182686214395 0.004132692811969506
2 46 66.0 37 60.627085631038966 20.583404015938793 15.47603754747247 0.27929048050412963 0.07874386651558735 4.497152463330276 57.24473120059144 51.9962995561169 7.337287905689142E-4
3 38 44.0 12 55.732976757561595 18.49855118630318 14.788353070643238 0.13628621312120234 0.03862743588372559 3.607052558903982 58.22142745915879 51.309011594923064 0.004112925698405011
4 43 48.0 7 69.7266129396276 17.317691170740986 30.058373304402178 0.12581506857854838 0.035795156189604944 0.9355448064786177 47.339345399425966 38.41045558667312 0.0014409151067316913
5 37 47.0 9 65.77393203562345 15.20529019789181 36.05751245748299 0.18341825914260912 0.05126762551857674 3.4884085066320503 52.808223061195 44.98857763122039 2.6800372033968515E-4
6 46 69.0 45 58.57892998343598 19.343030033387205 20.041252490908246 0.2755418995273821 0.08070440766738757 0.6188173491044815 63.93747845694805 56.115193176229226 0.0012972913965089005
7 44 55.0 12 61.80074111637338 17.27686880417815 32.91165304748638 0.12618515097810598 0.039250984015969936 5.2742211487128134 61.99071817838689 54.865313892467285 0.004021937548288156
8 41 50.0 16 67.59762379691097 16.36396276914177 36.484090105721606 0.18150195491556584 0.05633956158418136 3.1425411638156824 43.61436321076156 38.286997712905965 0.0034448692716608255
9 44 65.0 34 54.16141128083703 21.02708934161512 15.683103174122806 0.17197638058781572 0.050085149088625325 1.8851588370671915 51.53087549666811 43.56952053577772 0.0010919041862574774
10 47 75.0 95 58.84305894734261 20.100690547950617 13.837365391005873 0.1125914584240946 0.03670033361172319 0.5347042612727403 68.25618081267612 61.509362794264845 7.737949532335053E-4
11 44 55.0 12 60.534897080252534 21.542019613938507 12.864910595272276 0.18139485643302686 0.04827470432541527 2.1685955486514694 47.82651830026267 40.15691739536346 0.00560071354374522
12 39 45.0 4 73.5754709407647 11.666940986334565 60.837674146785 0.1876810752035883 0.05829608754294882 0.990449770847974 41.074587883605616 35.588734207491676 0.0015198045215492955
13 40 51.0 15 63.418264877498615 21.389047842590642 24.425099771618846 0.11880851703096362 0.03319482497314659 2.771498136585286 52.537780740136014 43.65422211992104 0.0017090060355377632
14 38 36.0 4 62.2398973967995 14.169964901596181 46.383624593038654 0.12059754495782421 0.030412623085696856 27.804347971519068 46.527454080954364 38.0328415394676 0.009749176376780752
15 46 59.0 22 66.02759161118388 14.04036047553381 45.23951861404034 0.1261959281463638 0.03618381470130524 7.315612832280082 49.962547712009815 46.83545469722388 0.0051602599808214114
16 46 63.0 17 61.8700728487609 23.88716636430629 13.217289943237372 0.22674972163950471 0.05769900370670774 3.189316456026794 50.690700534697406 45.172065197227404 8.154754158334428E-4
17 40 57.0 34 58.11722248448682 19.796175325204523 10.616773390178265 0.12210741403139358 0.03162701698414891 1.3895462176220164 65.68544871805457 57.6726670744244 4.8322779602493154E-4
18 42 46.0 2 79.3783226533043 2.1909012856664702 77.18742136763782 0.1439477456845033 0.03762259011425846 21.314958085161717 33.9041171020819 29.654432337396955 0.00825438751491257
19 41 46.0 3 63.55600999473507 8.279127414211608 54.0558720205835 0.15511443916661796 0.045532036018561706 0.6327924531648966 47.341523958602096 40.90187157889823 0.0011717696940843185
20 37 36.0 0 0.0 0.0 0.0 0.1104500045599185 0.03425260528766477 35.5822805508405 28.15125663420885 23.76829981129557 0.05427555199118771
21 41 59.0 46 62.09398686211097 18.105332989051572 17.678806983021026 0.26456650521714586 0.06065675868779717 3.5578497524322272 56.31664534729203 48.94603332102765 0.0010243901693716515
22 36 45.0 7 64.38734087129524 15.455542090646567 48.199593282809644 0.22791844557639587 0.06490735506414726 0.9614813213252704 52.776552845381424 46.46760754073241 0.0024149802810459224
23 34 39.0 5 53.003492130478534 20.133631610494735 27.666402463561383 0.17082116338139203 0.04595869853415882 14.417694842981884 40.50322734289478 35.092825266369196 0.01725426674715554
24 39 44.0 12 62.44275339049171 24.311163418015948 21.343386666725575 0.10564923503566116 0.03264044794205196 5.746503916577153 48.796611507365064 42.82883358469844 0.004730599178910341
25 39 54.0 22 70.1616815621831 12.181172166708578 49.11406241802775 0.2590692816625644 0.06714519993453077 9.743695337827393 56.14287716377913 49.87764217464288 0.014722626486044521
26 40 54.0 10 67.43344581425275 17.339362069490694 37.60227159238502 0.24330862181600274 0.06781874738620626 0.8423750371013758 52.94997117345698 44.222933134849114 0.0031339949755407035
27 43 65.0 40 62.77791543929684 18.290320572218647 16.855500454310416 0.22854852377487472 0.0705755882907932 7.99267652178312 59.086619841107066 53.66309646092945 0.0021335825114862633
28 35 34.0 0 0.0 0.0 0.0 0.13188053426869603 0.03839079156412961 10.501564148648377 21.085118014548986 17.974781645272756 0.00290688684929219
29 36 40.0 6 46.491176784909406 25.753391564104355 9.752888783606444 0.17650723292235498 0.04177460754784514 3.2109385993254125 39.07761955156347 30.287385796911163 0.0010304000635846502
30 38 48.0 7 57.891289828867386 14.23317472039764 29.883311070088062 0.2283908392624268 0.07381030883915636 0.7965367775517505 49.97135058670903 43.74612825363402 0.0013018592319602729
31 45 65.0 53 58.04391918063348 20.600898422496613 18.39646908006883 0.14056845803121198 0.0374661790141034 2.6674494851015567 62.26521073374363 55.41609512797722 0.002622377932103254
32 39 49.0 13 56.69057272154574 20.069508091892317 17.086346020071776 0.22157792453336347 0.04696187616640305 8.60150493488568 49.83169669191015 40.30550945326354 0.0037549974676079887
